"Vcenter","Cluster","NsxManager","VMname","VMid","tags_scope","tags_tag"
"sfo-w01-vc01.sfo.rainpole.io","sfo-w01-cl01","sfo-w01-nsx01.sfo.rainpole.io","srv-04","5038cbb3-5a64-9181-f251-afedd795a6bd","","silver-tag"
"sfo-w01-vc01.sfo.rainpole.io","sfo-w01-cl01","sfo-w01-nsx01.sfo.rainpole.io","srv-03","50386006-2c36-4595-20c7-61ae258ac5fe","","silver-tag"
"sfo-w01-vc01.sfo.rainpole.io","sfo-w01-cl01","sfo-w01-nsx01.sfo.rainpole.io","srv-01","503802b4-a751-ab55-282e-8ac5c031acca","","gold-tag"
"sfo-w01-vc01.sfo.rainpole.io","sfo-w01-cl01","sfo-w01-nsx01.sfo.rainpole.io","srv-02","5038e3ce-b63f-32ab-933b-346de7add50a","","gold-tag"
"sfo-w01-vc01.sfo.rainpole.io","sfo-w01-cl01","sfo-w01-nsx01.sfo.rainpole.io","sfo-w01-r01-en02","50385d81-578e-1269-af4c-3fe30abec70a","","Edge_NSGroup"
"sfo-w01-vc01.sfo.rainpole.io","sfo-w01-cl01","sfo-w01-nsx01.sfo.rainpole.io","sfo-w01-r01-en01","5038c11c-0973-50be-f239-7e2efbeb74c6","","Edge_NSGroup"
